Feature,Importance
year,0.08037875424804575
X8,0.07513359025112765
X6,0.0708228250394459
X15,0.062148794300222895
X3,0.05634992785603856
X17,0.05457538717259408
X1,0.05204860742367507
X11,0.052009139291172214
X7,0.05129566524289038
X13,0.0488759161896194
X12,0.047949777634776154
X2,0.04756015044947
X10,0.04661247350993061
X14,0.0460686733820271
X5,0.045440970330021056
X4,0.04379147218518907
X18,0.042467263227926544
X16,0.03860824976255911
X9,0.03786236250326838
