,precision,recall,f1-score,support
0,0.9425220697209872,0.9955080650649969,0.9682907453991791,14693.0
1,0.6972477064220184,0.14559386973180077,0.24088748019017434,1044.0
accuracy,0.9391243566118066,0.9391243566118066,0.9391243566118066,0.9391243566118066
macro avg,0.8198848880715028,0.5705509673983988,0.6045891127946768,15737.0
weighted avg,0.9262504528128012,0.9391243566118066,0.9200344698143662,15737.0
