Model,Accuracy,Precision,Recall,F1,ROC_AUC,Production_Score
Logistic Regression,0,0,0,0,0,0.0
Decision Tree,0,0,0,0,0,0.0
Random Forest,0,0,0,0,0,0.0
XGBoost,0,0,0,0,0,0.0
LightGBM,0,0,0,0,0,0.0
CatBoost,0,0,0,0,0,0.0
SVM,0,0,0,0,0,0.0
