Metric,Baseline,Noisy_Data,Performance_Drop
Accuracy,0.9391243566118066,0.934485607167821,0.004638749443985568
F1,0.24088748019017434,0.030103480714957668,0.21078399947521667
ROC_AUC,0.879067768345914,0.65208293729675,0.226984831049164
