Model,Accuracy,F1 Score,ROC-AUC
Random Forest,0.9344220626548897,0.026415094339622643,0.8327242518852644
Gradient Boosting,0.9334688949609201,0.03679852805887764,0.7627618958959006
Logistic Regression,0.9337866175255767,0.018832391713747645,0.6586782665292958
Decision Tree,0.8901315371417678,0.22011727559765448,0.5852445439523029
