Group,Samples,Accuracy,Precision,Recall,F1
High,8325,0.9542342342342343,0.6627906976744186,0.1393643031784841,0.23030303030303031
Low,7412,0.922153264975715,0.7196969696969697,0.14960629921259844,0.24771838331160365
