Feature,MeanAbsSHAP
X8,0.014050000000000002
X15,0.010975000000000002
X17,0.005775
X1,0.005216666666666667
X18,0.005033333333333333
X14,0.004825
X9,0.0038583333333333317
X13,0.003475
X3,0.003308333333333334
X7,0.003291666666666667
X16,0.0028416666666666673
X2,0.0028166666666666665
X10,0.0027750000000000006
X11,0.0026833333333333323
X4,0.0023833333333333337
X12,0.0019166666666666661
X5,0.0016083333333333331
X6,0.0015750000000000007
year,0.0010749999999999996
